TM1,Score1,vs,TM2,Score2,week
PHI,24,-,DAL,20,1
LAC,27,-,KC,21,1
ARI,20,-,NO,13,1
JAC,26,-,CAR,10,1
CIN,17,-,CLE,16,1
LV,20,-,NE,13,1
IND,33,-,MIA,8,1
WAS,21,-,NYG,6,1
PIT,34,-,NYJ,32,1
TB,23,-,ATL,20,1
SF,17,-,SEA,13,1
DEN,20,-,TEN,12,1
GB,27,-,DET,13,1
LAR,14,-,HOU,9,1
BUF,41,-,BAL,40,1
MIN,27,-,CHI,24,1
GB,27,-,WAS,18,2
BUF,30,-,NYJ,10,2
DET,52,-,CHI,21,2
BAL,41,-,CLE,17,2
CIN,31,-,JAC,27,2
LAR,33,-,TEN,19,2
NE,33,-,MIA,27,2
DAL,40,-,NYG,37,2
SEA,31,-,PIT,17,2
SF,26,-,NO,21,2
ARI,27,-,CAR,22,2
IND,29,-,DEN,28,2
PHI,20,-,KC,17,2
ATL,22,-,MIN,6,2
TB,20,-,HOU,19,2
LAC,20,-,LV,9,2
BUF,31,-,MIA,21,3
CAR,30,-,ATL,0,3
MIN,48,-,CIN,10,3
CLE,13,-,GB,10,3
JAC,17,-,HOU,10,3
IND,41,-,TEN,20,3
PHI,33,-,LAR,26,3
WAS,41,-,LV,24,3
TB,29,-,NYJ,27,3
PIT,21,-,NE,14,3
LAC,23,-,DEN,20,3
SEA,44,-,NO,13,3
SF,16,-,ARI,15,3
CHI,31,-,DAL,14,3
KC,22,-,NYG,9,3
DET,38,-,BAL,30,3
SEA,23,-,ARI,20,4
PIT,24,-,MIN,21,4
DET,34,-,CLE,10,4
NE,42,-,CAR,13,4
NYG,21,-,LAC,18,4
BUF,31,-,NO,19,4
PHI,31,-,TB,25,4
HOU,26,-,TEN,0,4
ATL,34,-,WAS,27,4
JAC,26,-,SF,21,4
LAR,27,-,IND,20,4
KC,37,-,BAL,20,4
CHI,25,-,LV,24,4
GB,40,-,DAL,40,4
MIA,27,-,NYJ,21,4
DEN,28,-,CIN,3,4
SF,26,-,LAR,23,5
MIN,21,-,CLE,17,5
DAL,37,-,NYJ,22,5
DEN,21,-,PHI,17,5
HOU,44,-,BAL,10,5
IND,40,-,LV,6,5
CAR,27,-,MIA,24,5
NO,26,-,NYG,14,5
TB,38,-,SEA,35,5
TEN,22,-,ARI,21,5
DET,37,-,CIN,24,5
WAS,27,-,LAC,10,5
NE,23,-,BUF,20,5
JAC,31,-,KC,28,5
NYG,34,-,PHI,17,6
DEN,13,-,NYJ,11,6
IND,31,-,ARI,27,6
PIT,23,-,CLE,9,6
CAR,30,-,DAL,27,6
LAC,29,-,MIA,27,6
LAR,17,-,BAL,3,6
NE,25,-,NO,19,6
SEA,20,-,JAC,12,6
LV,20,-,TEN,10,6
GB,27,-,CIN,18,6
TB,30,-,SF,19,6
KC,30,-,DET,17,6
ATL,24,-,BUF,14,6
CHI,25,-,WAS,24,6
CIN,33,-,PIT,31,7
LAR,35,-,JAC,7,7
KC,31,-,LV,0,7
CAR,13,-,NYJ,6,7
CLE,31,-,MIA,6,7
NE,31,-,TEN,13,7
CHI,26,-,NO,14,7
PHI,28,-,MIN,22,7
DEN,33,-,NYG,32,7
IND,38,-,LAC,24,7
GB,27,-,ARI,23,7
DAL,44,-,WAS,22,7
SF,20,-,ATL,10,7
DET,24,-,TB,9,7
SEA,27,-,HOU,19,7
LAC,37,-,MIN,10,8
BAL,30,-,CHI,16,8
BUF,40,-,CAR,9,8
NE,32,-,CLE,13,8
MIA,34,-,ATL,10,8
PHI,38,-,NYG,20,8
NYJ,39,-,CIN,38,8
HOU,26,-,SF,15,8
TB,23,-,NO,3,8
DEN,44,-,DAL,24,8
IND,38,-,TEN,14,8
GB,35,-,PIT,25,8
KC,28,-,WAS,7,8
BAL,28,-,MIA,6,9
CAR,16,-,GB,13,9
NE,24,-,ATL,23,9
CHI,47,-,CIN,42,9
DEN,18,-,HOU,15,9
PIT,27,-,IND,20,9
LAC,27,-,TEN,20,9
MIN,27,-,DET,24,9
SF,34,-,NYG,24,9
JAC,30,-,LV,29,9
LAR,34,-,NO,10,9
BUF,28,-,KC,21,9
SEA,38,-,WAS,14,9
ARI,27,-,DAL,17,9
DEN,10,-,LV,7,10
IND,31,-,ATL,25,10
MIA,30,-,BUF,13,10
BAL,27,-,MIN,19,10
NYJ,27,-,CLE,20,10
HOU,36,-,JAC,29,10
NE,28,-,TB,23,10
NO,17,-,CAR,7,10
CHI,24,-,NYG,20,10
SEA,44,-,ARI,22,10
DET,44,-,WAS,22,10
LAR,42,-,SF,26,10
LAC,25,-,PIT,10,10
PHI,10,-,GB,7,10
NE,27,-,NYJ,14,11
MIA,16,-,WAS,13,11
CAR,30,-,ATL,27,11
CHI,19,-,MIN,17,11
PIT,34,-,CIN,12,11
GB,27,-,NYG,20,11
HOU,16,-,TEN,13,11
JAC,35,-,LAC,6,11
BUF,44,-,TB,32,11
LAR,21,-,SEA,19,11
SF,41,-,ARI,22,11
BAL,23,-,CLE,16,11
DEN,22,-,KC,19,11
PHI,16,-,DET,9,11
DAL,33,-,LV,16,11
