TM1,Score1,vs,TM2,Score2,week
PHI,24,-,DAL,20,1
LAC,27,-,KC,21,1
ARI,20,-,NO,13,1
JAC,26,-,CAR,10,1
CIN,17,-,CLE,16,1
LV,20,-,NE,13,1
IND,33,-,MIA,8,1
WAS,21,-,NYG,6,1
PIT,34,-,NYJ,32,1
TB,23,-,ATL,20,1
SF,17,-,SEA,13,1
DEN,20,-,TEN,12,1
GB,27,-,DET,13,1
LAR,14,-,HOU,9,1
BUF,41,-,BAL,40,1
MIN,27,-,CHI,24,1
GB,27,-,WAS,18,2
BUF,30,-,NYJ,10,2
DET,52,-,CHI,21,2
BAL,41,-,CLE,17,2
CIN,31,-,JAC,27,2
LAR,33,-,TEN,19,2
NE,33,-,MIA,27,2
DAL,40,-,NYG,37,2
SEA,31,-,PIT,17,2
SF,26,-,NO,21,2
ARI,27,-,CAR,22,2
IND,29,-,DEN,28,2
PHI,20,-,KC,17,2
ATL,22,-,MIN,6,2
TB,20,-,HOU,19,2
LAC,20,-,LV,9,2
BUF,31,-,MIA,21,3
CAR,30,-,ATL,0,3
MIN,48,-,CIN,10,3
CLE,13,-,GB,10,3
JAC,17,-,HOU,10,3
IND,41,-,TEN,20,3
PHI,33,-,LAR,26,3
WAS,41,-,LV,24,3
TB,29,-,NYJ,27,3
PIT,21,-,NE,14,3
LAC,23,-,DEN,20,3
SEA,44,-,NO,13,3
SF,16,-,ARI,15,3
CHI,31,-,DAL,14,3
KC,22,-,NYG,9,3
DET,38,-,BAL,30,3
